Item,Carbs,Calories,Protein,Meal,Day,Fat
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Parmesan Potato Wedges (5 wedges), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",54,809,56,Dinner,EVERY_DAY,36.0
"Pork Tenderloin with a light marinade (8 oz serving), Brown Rice Pilaf (1/2 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",59,809,81,Dinner,EVERY_DAY,27.7
"Caprese Sandwich (2 slices of French bread, 2 oz of mozzarella, 2 tbsp of balsamic vinaigrette, fresh basil, and tomato slices), Roasted Potatoes (1 cup), Roasted Vegetables (1/2 cup)",105,808,30,Lunch,EVERY_DAY,29.8
"Caprese Sandwich (2 slices of French bread, 2 oz of mozzarella, 2 tbsp of balsamic vinaigrette, fresh basil, and tomato slices), Wild Rice (1 cup), Grilled Squash (1/2 cup)",102,808,33,Lunch,EVERY_DAY,29.8
"Flat Iron Steak (8 oz serving), Couscous (1/2 cup), Roasted Eggplant (1/2 cup)",30,808,60,Dinner,EVERY_DAY,35.9
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Yellow Rice (1/2 cup), Peas and Carrots (1/2 cup)",43,808,64,Dinner,EVERY_DAY,35.9
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Yellow Rice (1/2 cup), Roasted Asparagus (1 cup)",39,808,66,Dinner,EVERY_DAY,35.9
"Shrimp (10 shrimp) with garlic, butter (1 tbsp), and olive oil (1 tbsp), Brown Rice Pilaf (1 cup), Roasted Broccolini (1/2 cup)",84,808,53,Dinner,EVERY_DAY,28.9
"Shrimp (10 shrimp) with garlic, butter (1 tbsp), and olive oil (1 tbsp), Brown Rice Pilaf (1 cup), Roasted Brussels Sprouts (1/2 cup)",84,808,53,Dinner,EVERY_DAY,28.9
"Shrimp (10 shrimp) with garlic, butter (1 tbsp), and olive oil (1 tbsp), Rosemary Roasted Red Potatoes (1 cup), Sauteed Green Beans (1 cup)",62,808,49,Dinner,EVERY_DAY,35.9
"Greek Yogurt (8oz), Pecans (1/2 cup), Dried Cranberries (1/2 cup)",78,806,31,Snack,EVERY_DAY,35.8
"Greek Yogurt (8oz), Walnuts (1/2 cup), Dried Cranberries (1/2 cup)",84,806,33,Snack,EVERY_DAY,35.8
"Oikos Greek Yogurt Cup (5.3oz), Brazil nuts (1/2 cup), Dried Cranberries (1/2 cup)",84,806,26,Snack,EVERY_DAY,35.8
"Core Power Elite (Chocolate) (1 Bottle), Almonds (1/2 cup), Dried Cranberries (1/2 cup)",85,806,57,Snack,EVERY_DAY,26.4
"Cilantro Lime Chicken (8 oz serving), Yellow Rice (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",59,804,65,Dinner,EVERY_DAY,34.2
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Brown Rice Pilaf (1/2 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",54,804,59,Dinner,EVERY_DAY,35.7
"Rotisserie Chicken (1/4 chicken), Quinoa (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",57,804,49,Dinner,EVERY_DAY,35.7
"Salmon (5 oz filet) with a honey mustard glaze, Quinoa (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",65,804,45,Dinner,EVERY_DAY,35.7
"Salmon (5 oz filet) with a honey mustard glaze, Roasted Potatoes (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",73,804,43,Dinner,EVERY_DAY,35.7
"Greek Yogurt (8oz), Brazil nuts (1/2 cup), Dried Pineapple (2 oz)",60,804,35,Snack,EVERY_DAY,35.7
"Shrimp (10 shrimp) with garlic, butter (1 tbsp), and olive oil (1 tbsp), Brown Rice Pilaf (1 cup), Sauteed Green Beans (1/2 cup)",85,803,53,Dinner,EVERY_DAY,27.9
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Mashed Sweet Potatoes (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",26,802,66,Dinner,EVERY_DAY,35.6
"Marinated Hanger Steak (4 oz serving), Parmesan Potato Wedges (5 wedges), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",47,802,52,Dinner,EVERY_DAY,35.6
"Rotisserie Chicken (1/4 chicken), Brown Rice (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",56,802,56,Dinner,EVERY_DAY,35.6
"Rotisserie Chicken (1/4 chicken), Jasmine Rice (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",58,802,56,Dinner,EVERY_DAY,35.6
"Salmon (5 oz filet) with a honey mustard glaze, Jasmine Rice (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",66,802,52,Dinner,EVERY_DAY,35.6
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Lo Mein Noodles (1/2 cup), Roasted Corn (1 cup)",100,800,39,Lunch,EVERY_DAY,27.1
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Wild Rice (1/2 cup), Grilled Squash (1 cup)",74,800,36,Lunch,EVERY_DAY,35.6
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Yellow Rice (1 cup), Grilled Squash (1/2 cup)",85,800,34,Lunch,EVERY_DAY,35.6
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Roasted Potatoes (1 cup), Steamed Broccoli with Lemon (1 cup)",101,800,44,Lunch,EVERY_DAY,24.4
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Mashed Sweet Potatoes (1/2 cup), Braised Collard Greens (1 cup)",88,800,42,Lunch,EVERY_DAY,31.1
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Quinoa (1/2 cup), Roasted Vegetables (1 cup)",85,800,42,Lunch,EVERY_DAY,32.4
"Cilantro Lime Chicken (8 oz serving), Lo Mein Noodles (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",59,800,69,Dinner,EVERY_DAY,32.0
"Cilantro Lime Chicken (8 oz serving), Parmesan Potato Wedges (5 wedges), Roasted Corn (1 cup)",76,800,66,Dinner,EVERY_DAY,25.8
"Flat Iron Steak (4 oz serving), Roasted Potatoes (1 cup), Roasted Corn (1 cup)",90,800,40,Dinner,EVERY_DAY,31.1
"Flat Iron Steak (8 oz serving), Boiled Potatoes (1/2 cup), Roasted Eggplant (1/2 cup)",30,800,59,Dinner,EVERY_DAY,35.6
"Honey Rosemary Flank Steak (8 oz serving), Wild Rice (1 cup), Grilled Squash (1/2 cup)",54,800,73,Dinner,EVERY_DAY,32.4
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Mashed Sweet Potatoes (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",46,800,58,Dinner,EVERY_DAY,35.6
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Quinoa (1 cup), Sauteed Green Beans (1 cup)",55,800,60,Dinner,EVERY_DAY,35.6
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Roasted Potatoes (1 cup), Roasted Corn (1/2 cup)",68,800,57,Dinner,EVERY_DAY,33.3
"Pork Tenderloin with a light marinade (4 oz serving), Lo Mein Noodles (1 cup), Grilled Squash (1 cup)",88,800,49,Dinner,EVERY_DAY,28.0
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1/2 cup), Roasted Corn (1 cup)",66,800,80,Dinner,EVERY_DAY,24.0
"Pork Tenderloin with a light marinade (8 oz serving), Wild Rice (1 cup), Grilled Squash (1/2 cup)",54,800,81,Dinner,EVERY_DAY,28.9
"Rotisserie Chicken (1/4 chicken), Jasmine Rice (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",78,800,48,Dinner,EVERY_DAY,32.9
"Rotisserie Chicken (1/4 chicken), Parmesan Potato Wedges (5 wedges), Grilled Squash (1 cup)",62,800,44,Dinner,EVERY_DAY,35.6
"Rotisserie Chicken (1/4 chicken), Yellow Rice (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",70,800,48,Dinner,EVERY_DAY,35.6
"Salmon (5 oz filet) with a honey mustard glaze, Brown Rice (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",84,800,44,Dinner,EVERY_DAY,32.0
"Salmon (5 oz filet) with a honey mustard glaze, Parmesan Potato Wedges (5 wedges), Grilled Squash (1 cup)",70,800,40,Dinner,EVERY_DAY,35.6
"Smoked Turkey and Brie on a Roll (4 slices of turkey, 2 oz of brie cheese, 1 tbsp of honey mustard, 1 baguette roll), Roasted Potatoes (1/2 cup), Roasted Broccolini (1cup)",109,800,44,Dinner,EVERY_DAY,20.9
"Deli Meat (Chicken, Turkey, Ham, Roast Beef-97% fat free) (6 oz), Brazil nuts (1/2 cup), Dates (2 dates)",44,800,44,Snack,EVERY_DAY,35.6
"Grilled Chicken Breast with a cilantro marinade (8 oz serving), Roasted Potatoes (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",72,799,68,Dinner,EVERY_DAY,26.6
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Jasmine Rice (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",68,799,56,Dinner,EVERY_DAY,33.7
"Rotisserie Chicken (1/4 chicken), Rosemary Roasted Red Potatoes (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",65,799,46,Dinner,EVERY_DAY,35.5
"Flat Iron Steak (8 oz serving), Couscous (1/2 cup), Steamed Broccoli with Lemon (1/2 cup)",30,798,61,Dinner,EVERY_DAY,35.5
"Flat Iron Steak (8 oz serving), Couscous (1/2 cup), Steamed Snow Peas (1 cup)",30,798,61,Dinner,EVERY_DAY,35.5
"Ground Turkey (4 oz) with Teriyaki Sauce (2 tbsp), Roasted Potatoes (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",69,798,41,Dinner,EVERY_DAY,35.5
"Salmon with a chipotle barbeque seasoning (8 oz serving), Couscous (1/2 cup), Grilled Squash (1 cup)",46,798,56,Dinner,EVERY_DAY,35.5
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Mashed Sweet Potatoes (1 cup), Roasted Corn (1/2 cup)",101,797,41,Lunch,EVERY_DAY,25.4
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Mashed Sweet Potatoes (1 cup), Sauteed Green Beans (1 cup)",96,797,42,Lunch,EVERY_DAY,27.2
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Parmesan Potato Wedges (5 wedges), Peas and Carrots (1 cup)",100,797,42,Lunch,EVERY_DAY,25.4
"Grilled Buffalo Chicken Salad (8 oz of grilled buffalo chicken, 3 cups of lettuce, 1/2 cup of broccoli, 1/2 cup of cucumber, 1 stem of green onion, 1 stalk of celery, 2 tbsp of ranch dressing), Wild Rice (1 cup), Roasted Vegetables (1 cup)",60,797,46,Dinner,EVERY_DAY,35.4
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Lo Mein Noodles (1 cup), Steamed Cauliflower (1/2 cup)",96,795,39,Lunch,EVERY_DAY,28.3
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Lo Mein Noodles (1 cup), Steamed Snow Peas (1/2 cup)",95,795,39,Lunch,EVERY_DAY,28.8
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Wild Rice (1 cup), Steamed Cauliflower (1/2 cup)",96,795,45,Lunch,EVERY_DAY,25.7
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Wild Rice (1 cup), Steamed Snow Peas (1/2 cup)",95,795,45,Lunch,EVERY_DAY,26.1
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Lo Mein Noodles (1 cup), Sauteed Green Beans (1/2 cup)",70,795,60,Dinner,EVERY_DAY,30.6
"Lemon Pepper Rotisserie Chicken (1/4 chicken), Parmesan Potato Wedges (10 wedges), Grilled Squash (1/2 cup)",85,795,34,Dinner,EVERY_DAY,35.3
"Marinated Hanger Steak (4 oz serving), Parmesan Potato Wedges (10 wedges), Steamed Snow Peas (1/2 cup)",79,795,41,Dinner,EVERY_DAY,35.0
"Marinated Hanger Steak (8 oz serving), Mashed Sweet Potatoes (1/2 cup), Steamed Carrots (1/2 cup)",36,795,67,Dinner,EVERY_DAY,35.3
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1 cup), Steamed Carrots (1/2 cup)",60,795,78,Dinner,EVERY_DAY,27.0
"Marinated Hanger Steak (4 oz serving), Quinoa (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",60,794,45,Dinner,EVERY_DAY,35.3
"Salmon with a cajun spice (5 oz of salmon), Brown Rice Pilaf (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",95,794,42,Dinner,EVERY_DAY,27.3
"Caprese Sandwich (2 slices of French bread, 2 oz of mozzarella, 2 tbsp of balsamic vinaigrette, fresh basil, and tomato slices), Roasted Potatoes (1 cup), Roasted Asparagus (1/2 cup)",103,793,31,Lunch,EVERY_DAY,28.6
"Grilled Buffalo Chicken Salad (8 oz of grilled buffalo chicken, 3 cups of lettuce, 1/2 cup of broccoli, 1/2 cup of cucumber, 1 stem of green onion, 1 stalk of celery, 2 tbsp of ranch dressing), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Steamed Carrots (1 cup)",70,793,47,Lunch,EVERY_DAY,35.2
"Flat Iron Steak (8 oz serving), Couscous (1/2 cup), Roasted Asparagus (1/2 cup)",29,793,61,Dinner,EVERY_DAY,35.2
"Grilled Chicken Breast with a cilantro marinade (8 oz serving), Rosemary Roasted Red Potatoes (1 cup), Peas and Carrots (1 cup)",73,790,68,Lunch,EVERY_DAY,25.1
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Roasted Potatoes (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",74,790,38,Lunch,EVERY_DAY,35.1
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1/2 cup), Roasted Brussels Sprouts (1/2 cup)",84,790,41,Lunch,EVERY_DAY,32.2
"Rotisserie Chicken (1/4 chicken), Brown Rice Pilaf (1 cup), Peas and Carrots (1 cup)",98,790,52,Lunch,EVERY_DAY,21.1
"Rotisserie Chicken (1/4 chicken), Brown Rice (1 cup), Grilled Squash (1 cup)",74,790,44,Lunch,EVERY_DAY,35.1
"Salmon (5 oz filet) with a honey mustard glaze, Brown Rice Pilaf (1 cup), Roasted Brussels Sprouts (1 cup)",98,790,48,Lunch,EVERY_DAY,22.9
"Salmon (5 oz filet) with a honey mustard glaze, Quinoa (1 cup), Roasted Corn (1 cup)",88,790,46,Lunch,EVERY_DAY,28.2
"Tuna Salad Wrap (2/3 cup of tuna salad, 1 whole wheat wrap), Yellow Rice (1 cup), Peas and Carrots (1 cup)",111,790,30,Lunch,EVERY_DAY,25.1
"Cilantro Lime Chicken (8 oz serving), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",59,790,70,Dinner,EVERY_DAY,30.4
"Flat Iron Steak (8 oz serving), Boiled Potatoes (1/2 cup), Steamed Broccoli with Lemon (1/2 cup)",30,790,60,Dinner,EVERY_DAY,35.1
"Flat Iron Steak (8 oz serving), Boiled Potatoes (1/2 cup), Steamed Cauliflower (1 cup)",32,790,60,Dinner,EVERY_DAY,35.1
"Flat Iron Steak (8 oz serving), Boiled Potatoes (1/2 cup), Steamed Snow Peas (1 cup)",30,790,60,Dinner,EVERY_DAY,35.1
"Herb Roasted Chicken Breast (8 oz serving), Buttered Egg Noodles (1 cup), Grilled Squash (1/2 cup)",54,790,84,Dinner,EVERY_DAY,26.4
"Honey Rosemary Flank Steak (8 oz serving), Buttered Egg Noodles (1 cup), Braised Collard Greens (1/2 cup)",51,790,73,Dinner,EVERY_DAY,32.7
"Honey Rosemary Flank Steak (8 oz serving), Buttered Egg Noodles (1 cup), Peas and Carrots (1/2 cup)",54,790,73,Dinner,EVERY_DAY,31.3
"Honey Rosemary Flank Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Asparagus (1 cup)",50,790,75,Dinner,EVERY_DAY,32.2
"Honey Rosemary Flank Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Broccolini (1/2 cup)",50,790,73,Dinner,EVERY_DAY,33.1
"Honey Rosemary Flank Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Brussels Sprouts (1/2 cup)",50,790,73,Dinner,EVERY_DAY,33.1
"Lemon Herb Chicken Thigh (4 oz serving), Parmesan Potato Wedges (10 wedges), Grilled Squash (1/2 cup)",85,790,36,Dinner,EVERY_DAY,34.0
"Lemon Herb Chicken Thigh (8 oz serving), Quinoa (1 cup), Sauteed Green Beans (1 cup)",55,790,64,Dinner,EVERY_DAY,34.9
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Lo Mein Noodles (1 cup), Roasted Vegetables (1/2 cup)",68,790,59,Dinner,EVERY_DAY,31.3
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Mashed Sweet Potatoes (1 cup), Grilled Squash (1/2 cup)",51,790,54,Dinner,EVERY_DAY,35.1
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Mashed Sweet Potatoes (1/2 cup), Grilled Squash (1 cup)",44,790,54,Dinner,EVERY_DAY,35.1
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Quinoa (1 cup), Roasted Vegetables (1 cup)",51,790,58,Dinner,EVERY_DAY,35.1
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Roasted Potatoes (1 cup), Roasted Vegetables (1 cup)",59,790,56,Dinner,EVERY_DAY,35.1
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Rosemary Roasted Red Potatoes (1 cup), Roasted Eggplant (1/2 cup)",51,790,55,Dinner,EVERY_DAY,35.1
"Marinated Hanger Steak (8 oz serving), Boiled Potatoes (1/2 cup), Steamed Carrots (1 cup)",43,790,68,Dinner,EVERY_DAY,35.1
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1 cup), Steamed Cauliflower (1 cup)",58,790,79,Dinner,EVERY_DAY,26.9
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1 cup), Steamed Snow Peas (1 cup)",56,790,79,Dinner,EVERY_DAY,27.8
"Rotisserie Chicken (1/4 chicken), Jasmine Rice (1 cup), Grilled Squash (1 cup)",76,790,44,Dinner,EVERY_DAY,34.4
"Salmon (5 oz filet) with a honey mustard glaze, Brown Rice Pilaf (1 cup), Braised Collard Greens (1 cup)",100,790,48,Dinner,EVERY_DAY,22.0
"Salmon (5 oz filet) with a honey mustard glaze, Brown Rice Pilaf (1 cup), Roasted Broccolini (1cup)",98,790,48,Dinner,EVERY_DAY,22.9
"Deli Meat (Chicken, Turkey, Ham, Roast Beef-97% fat free) (6 oz), Brazil nuts (1/2 cup), 1 banana",38,790,44,Snack,EVERY_DAY,35.1
"Lemon Herb Chicken Thigh (8 oz serving), Yellow Rice (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",60,789,60,Dinner,EVERY_DAY,34.3
"Pork Tenderloin with a light marinade (8 oz serving), Boiled Potatoes (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",57,789,79,Dinner,EVERY_DAY,27.2
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",59,789,79,Dinner,EVERY_DAY,26.3
"Pork Tenderloin with a light marinade (8 oz serving), Rosemary Roasted Red Potatoes (1/2 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",44,789,78,Dinner,EVERY_DAY,33.4
"Caprese Sandwich (2 slices of French bread, 2 oz of mozzarella, 2 tbsp of balsamic vinaigrette, fresh basil, and tomato slices), Wild Rice (1 cup), Braised Collard Greens (1 cup)",104,788,35,Lunch,EVERY_DAY,25.8
"Caprese Sandwich (2 slices of French bread, 2 oz of mozzarella, 2 tbsp of balsamic vinaigrette, fresh basil, and tomato slices), Wild Rice (1 cup), Peas and Carrots (1 cup)",110,788,35,Lunch,EVERY_DAY,23.1
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Couscous (1/2 cup), Grilled Squash (1 cup)",73,788,35,Lunch,EVERY_DAY,35.0
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Jasmine Rice (1/2 cup), Steamed Cauliflower (1 cup)",43,788,64,Dinner,EVERY_DAY,35.0
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Jasmine Rice (1/2 cup), Steamed Snow Peas (1 cup)",41,788,64,Dinner,EVERY_DAY,35.0
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Wild Rice (1/2 cup), Roasted Eggplant (1/2 cup)",35,788,65,Dinner,EVERY_DAY,35.0
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Wild Rice (1/2 cup), Roasted Vegetables (1/2 cup)",36,788,65,Dinner,EVERY_DAY,35.0
"Balsamic Chicken Salad (2 cups of shredded lettuce, 1 medium tomato, 6 oz chicken breast, 1 tbsp of parmesan cheese, 2 tsp of olive oil, 1 tbsp of balsamic vinaigrette), Wild Rice (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",37,787,77,Lunch,EVERY_DAY,35.0
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Parmesan Potato Wedges (5 wedges), Roasted Corn (1/2 cup)",99,787,41,Lunch,EVERY_DAY,25.2
"Shrimp (10 shrimp) with garlic, butter (1 tbsp), and olive oil (1 tbsp), Mashed Sweet Potatoes (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",57,787,47,Dinner,EVERY_DAY,35.0
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1/2 cup), Peas and Carrots (1/2 cup)",40,786,65,Dinner,EVERY_DAY,34.9
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1/2 cup), Roasted Asparagus (1 cup)",36,786,67,Dinner,EVERY_DAY,34.9
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1/2 cup), Roasted Broccolini (1/2 cup)",36,786,65,Dinner,EVERY_DAY,34.9
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1/2 cup), Roasted Brussels Sprouts (1/2 cup)",36,786,65,Dinner,EVERY_DAY,34.9
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Couscous (1 cup), Roasted Corn (1 cup)",75,786,60,Dinner,EVERY_DAY,27.3
"Pork Tenderloin with a light marinade (8 oz serving), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Braised Collard Greens (1 cup)",60,786,84,Dinner,EVERY_DAY,23.3
"Pork Tenderloin with a light marinade (8 oz serving), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Peas and Carrots (1 cup)",66,786,84,Dinner,EVERY_DAY,20.7
"Pork Tenderloin with a light marinade (8 oz serving), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Roasted Broccolini (1cup)",58,786,84,Dinner,EVERY_DAY,24.2
"Pork Tenderloin with a light marinade (8 oz serving), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Roasted Brussels Sprouts (1 cup)",58,786,84,Dinner,EVERY_DAY,24.2
