performance_id,athlete_id,assessment_date,performance_score,improvement_percentage,nutrition_adherence,recovery_score_avg,sleep_hours_avg,user_scenario,sport_league
PERF00000693,ATH000140,2024-10-14,87.6,-0.59,1.0,70.1,7.7,weight_loss,Cycling
PERF00000694,ATH000141,2022-02-28,97.6,-1.23,1.0,78.5,8.2,professional,NFL
PERF00000695,ATH000141,2022-11-06,96.2,-1.39,1.0,72.1,8.3,professional,NFL
PERF00000696,ATH000141,2023-07-19,95.2,-1.03,1.0,73.4,8.0,professional,NFL
PERF00000697,ATH000141,2024-07-21,94.9,-0.26,1.0,75.3,7.9,professional,NFL
PERF00000698,ATH000142,2022-03-04,100.0,3.09,1.0,75.0,8.0,elite_athlete,Cycling
PERF00000699,ATH000142,2022-10-17,99.1,-0.93,1.0,70.0,8.0,elite_athlete,Cycling
PERF00000700,ATH000142,2023-06-29,97.4,-1.69,1.0,69.0,7.7,elite_athlete,Cycling
PERF00000701,ATH000142,2023-09-25,97.4,0.01,1.0,69.0,7.7,elite_athlete,Cycling
PERF00000702,ATH000142,2024-10-27,97.2,-0.23,1.0,68.4,7.7,elite_athlete,Cycling
PERF00000703,ATH000143,2022-01-19,88.3,4.09,1.0,66.0,7.1,professional,NBA
PERF00000704,ATH000143,2022-09-06,92.4,4.11,1.0,69.7,7.7,professional,NBA
PERF00000705,ATH000143,2022-12-23,93.5,1.09,1.0,68.3,8.0,professional,NBA
PERF00000706,ATH000143,2023-11-24,92.4,-1.1,1.0,67.3,7.8,professional,NBA
PERF00000707,ATH000143,2024-11-13,92.4,-0.0,1.0,67.3,7.8,professional,NBA
PERF00000708,ATH000144,2022-01-26,85.7,3.24,1.0,74.0,7.1,weight_gain,NBA
PERF00000709,ATH000144,2022-12-07,77.9,-7.83,0.57,76.7,7.9,weight_gain,NBA
PERF00000710,ATH000144,2023-06-13,77.5,-0.36,0.57,76.6,7.9,weight_gain,NBA
PERF00000711,ATH000144,2024-05-21,76.3,-1.16,0.57,76.1,7.7,weight_gain,NBA
PERF00000712,ATH000144,2024-12-01,76.3,0.04,0.57,76.1,7.7,weight_gain,NBA
PERF00000713,ATH000145,2022-01-15,56.1,1.16,0.0,77.0,7.0,weight_gain,Swimming
PERF00000714,ATH000145,2023-02-04,87.7,31.63,1.0,74.6,7.5,weight_gain,Swimming
PERF00000715,ATH000145,2023-09-02,86.4,-1.3,1.0,72.3,7.3,weight_gain,Swimming
PERF00000716,ATH000145,2024-07-11,91.0,4.56,1.0,76.3,8.0,weight_gain,Swimming
PERF00000717,ATH000145,2024-11-27,90.4,-0.59,1.0,74.0,8.0,weight_gain,Swimming
PERF00000718,ATH000146,2022-01-07,84.0,4.6,1.0,70.0,7.0,amateur_athlete,Soccer
PERF00000719,ATH000146,2022-07-19,91.1,7.06,1.0,72.6,8.3,amateur_athlete,Soccer
PERF00000720,ATH000146,2023-08-16,82.5,-8.59,0.71,73.9,8.2,amateur_athlete,Soccer
PERF00000721,ATH000146,2024-04-13,81.0,-1.46,0.71,71.6,8.0,amateur_athlete,Soccer
PERF00000722,ATH000146,2024-10-03,81.5,0.5,0.71,72.1,8.1,amateur_athlete,Soccer
PERF00000723,ATH000147,2022-01-24,88.9,4.8,1.0,68.0,8.1,amateur_athlete,Tennis
PERF00000724,ATH000147,2022-07-11,88.7,-0.2,1.0,68.3,8.0,amateur_athlete,Tennis
PERF00000725,ATH000147,2023-03-08,89.9,1.23,1.0,72.9,8.0,amateur_athlete,Tennis
PERF00000726,ATH000147,2023-10-31,88.5,-1.44,1.0,73.4,7.7,amateur_athlete,Tennis
PERF00000727,ATH000147,2024-08-29,89.5,1.01,1.0,73.1,7.9,amateur_athlete,Tennis
PERF00000728,ATH000148,2022-05-12,72.9,0.62,0.86,66.5,7.8,casual_user,NBA
PERF00000729,ATH000148,2022-12-01,79.4,6.53,1.0,71.4,8.0,casual_user,NBA
PERF00000730,ATH000148,2023-05-01,78.3,-1.07,1.0,70.1,7.9,casual_user,NBA
PERF00000731,ATH000148,2024-04-13,78.9,0.56,1.0,70.7,7.9,casual_user,NBA
PERF00000732,ATH000148,2024-10-22,77.7,-1.16,1.0,69.9,7.8,casual_user,NBA
PERF00000733,ATH000149,2022-01-29,60.6,0.28,0.0,73.0,8.2,amateur_athlete,Cricket
PERF00000734,ATH000149,2022-10-11,78.8,18.2,0.71,73.1,7.5,amateur_athlete,Cricket
PERF00000735,ATH000149,2023-08-19,86.5,7.74,1.0,69.4,7.5,amateur_athlete,Cricket
PERF00000736,ATH000149,2024-04-29,87.5,1.0,1.0,68.6,7.8,amateur_athlete,Cricket
PERF00000737,ATH000150,2022-01-04,95.4,1.55,1.0,63.0,8.7,professional,Cycling
PERF00000738,ATH000150,2022-09-24,95.1,-0.31,1.0,73.1,8.0,professional,Cycling
PERF00000739,ATH000150,2023-09-04,92.8,-2.27,1.0,69.4,7.8,professional,Cycling
PERF00000740,ATH000150,2024-03-19,92.8,0.03,1.0,69.4,7.8,professional,Cycling
PERF00000741,ATH000150,2024-12-11,92.8,0.03,1.0,69.4,7.8,professional,Cycling
PERF00000742,ATH000151,2022-01-19,57.5,-0.5,0.0,70.0,8.7,fitness_enthusiast,NBA
PERF00000743,ATH000151,2023-04-02,68.6,11.1,0.43,73.4,8.1,fitness_enthusiast,NBA
PERF00000744,ATH000151,2023-11-12,68.8,0.21,0.43,78.4,7.9,fitness_enthusiast,NBA
PERF00000745,ATH000151,2024-05-25,60.0,-8.84,0.14,77.0,7.9,fitness_enthusiast,NBA
PERF00000746,ATH000151,2024-12-28,77.1,17.1,0.71,77.0,7.9,fitness_enthusiast,NBA
PERF00000747,ATH000152,2022-01-19,91.1,1.29,1.0,72.0,8.3,amateur_athlete,NFL
PERF00000748,ATH000152,2022-09-29,87.8,-3.3,1.0,70.3,7.7,amateur_athlete,NFL
PERF00000749,ATH000152,2023-04-08,88.6,0.81,1.0,73.0,7.7,amateur_athlete,NFL
PERF00000750,ATH000152,2023-10-26,88.6,0.01,1.0,73.0,7.7,amateur_athlete,NFL
PERF00000751,ATH000152,2024-11-01,88.8,0.2,1.0,71.0,7.9,amateur_athlete,NFL
PERF00000752,ATH000153,2022-01-24,85.9,3.84,1.0,78.0,8.9,casual_user,Swimming
PERF00000753,ATH000153,2022-12-12,50.9,-35.01,0.0,74.1,8.1,casual_user,Swimming
PERF00000754,ATH000153,2023-06-26,77.5,26.56,0.86,74.1,8.3,casual_user,Swimming
PERF00000755,ATH000153,2024-02-08,69.4,-8.13,0.57,75.3,8.3,casual_user,Swimming
PERF00000756,ATH000153,2024-12-13,51.2,-18.21,0.0,73.7,8.2,casual_user,Swimming
PERF00000757,ATH000154,2022-03-04,61.9,4.08,0.0,75.3,8.3,weight_loss,Tennis
PERF00000758,ATH000154,2023-02-03,82.7,20.84,0.71,74.1,8.2,weight_loss,Tennis
PERF00000759,ATH000154,2023-06-13,81.8,-0.91,0.71,72.9,8.1,weight_loss,Tennis
PERF00000760,ATH000154,2024-04-29,73.4,-8.4,0.43,72.3,8.2,weight_loss,Tennis
PERF00000761,ATH000154,2024-11-14,86.6,13.17,0.86,73.6,8.2,weight_loss,Tennis
PERF00000762,ATH000155,2022-01-02,84.0,1.62,1.0,70.0,7.0,amateur_athlete,NBA
PERF00000763,ATH000155,2022-11-19,92.3,8.33,1.0,76.6,8.3,amateur_athlete,NBA
PERF00000764,ATH000155,2023-04-02,92.6,0.34,1.0,77.9,8.3,amateur_athlete,NBA
PERF00000765,ATH000155,2024-03-04,91.6,-1.04,1.0,75.4,8.2,amateur_athlete,NBA
PERF00000766,ATH000155,2024-07-26,90.0,-1.59,1.0,73.1,8.0,amateur_athlete,NBA
PERF00000767,ATH000156,2022-01-05,84.0,2.18,1.0,70.0,7.0,weight_loss,Swimming
PERF00000768,ATH000156,2022-08-11,72.9,-11.14,0.43,75.7,7.9,weight_loss,Swimming
PERF00000769,ATH000156,2023-10-03,75.9,3.04,0.43,78.9,8.3,weight_loss,Swimming
PERF00000770,ATH000156,2024-03-14,61.3,-14.61,0.0,77.9,8.0,weight_loss,Swimming
PERF00000771,ATH000156,2024-12-29,62.4,1.14,0.0,78.9,8.2,weight_loss,Swimming
PERF00000772,ATH000157,2022-02-20,59.2,3.71,0.0,76.5,7.6,weight_loss,Tennis
PERF00000773,ATH000157,2022-06-13,87.7,28.47,1.0,69.1,7.8,weight_loss,Tennis
PERF00000774,ATH000157,2023-05-19,85.0,-2.73,0.86,75.9,7.7,weight_loss,Tennis
PERF00000775,ATH000157,2023-10-22,87.9,2.91,1.0,73.3,7.6,weight_loss,Tennis
PERF00000776,ATH000157,2024-12-13,89.2,1.26,1.0,71.7,7.9,weight_loss,Tennis
PERF00000777,ATH000158,2022-01-03,54.3,-0.54,0.0,76.0,7.7,fitness_enthusiast,Cycling
PERF00000778,ATH000158,2023-03-30,64.6,10.3,0.43,68.4,7.6,fitness_enthusiast,Cycling
PERF00000779,ATH000158,2023-08-21,65.7,1.11,0.43,71.4,7.7,fitness_enthusiast,Cycling
PERF00000780,ATH000158,2024-03-14,74.4,8.74,0.71,71.7,7.7,fitness_enthusiast,Cycling
PERF00000781,ATH000158,2024-09-16,75.7,1.33,0.71,71.0,8.0,fitness_enthusiast,Cycling
PERF00000782,ATH000159,2022-02-10,59.3,1.95,0.0,66.0,8.3,amateur_athlete,Cycling
PERF00000783,ATH000159,2022-11-20,89.3,29.96,1.0,69.4,8.1,amateur_athlete,Cycling
PERF00000784,ATH000159,2023-09-10,90.0,0.66,1.0,69.9,8.2,amateur_athlete,Cycling
PERF00000785,ATH000159,2024-06-10,89.3,-0.73,1.0,71.1,8.0,amateur_athlete,Cycling
PERF00000786,ATH000159,2024-12-04,89.3,-0.03,1.0,71.1,8.0,amateur_athlete,Cycling
PERF00000787,ATH000160,2022-03-08,46.4,3.02,0.0,73.0,7.3,casual_user,NBA
PERF00000788,ATH000160,2022-10-21,60.7,14.31,0.43,71.4,7.7,casual_user,NBA
PERF00000789,ATH000160,2023-08-16,70.5,9.84,0.71,70.9,8.0,casual_user,NBA
PERF00000790,ATH000160,2024-05-18,49.5,-21.03,0.0,75.1,7.8,casual_user,NBA
PERF00000791,ATH000160,2024-12-07,79.5,29.97,1.0,75.1,7.8,casual_user,NBA
PERF00000792,ATH000161,2022-02-21,49.0,3.68,0.0,70.0,7.0,fitness_enthusiast,NFL
PERF00000793,ATH000161,2022-10-22,81.6,32.6,0.86,75.6,8.0,fitness_enthusiast,NFL
PERF00000794,ATH000161,2023-06-05,75.2,-6.43,0.71,72.7,7.8,fitness_enthusiast,NFL
PERF00000795,ATH000161,2024-01-01,83.9,8.74,1.0,73.9,7.8,fitness_enthusiast,NFL
PERF00000796,ATH000161,2024-09-02,83.8,-0.13,1.0,75.4,7.6,fitness_enthusiast,NFL
PERF00000797,ATH000162,2022-01-13,47.0,4.54,0.0,65.0,7.9,casual_user,Cricket
PERF00000798,ATH000162,2022-07-10,72.4,25.39,0.71,71.3,8.3,casual_user,Cricket
PERF00000799,ATH000162,2023-03-15,72.6,0.2,0.71,69.1,8.5,casual_user,Cricket
PERF00000800,ATH000162,2024-01-27,73.1,0.49,0.71,69.6,8.6,casual_user,Cricket
PERF00000801,ATH000162,2024-12-16,51.8,-21.27,0.0,71.6,8.5,casual_user,Cricket
PERF00000802,ATH000163,2022-02-02,89.0,2.71,1.0,70.0,7.0,professional,NFL
PERF00000803,ATH000163,2022-11-10,94.5,5.5,1.0,76.4,7.7,professional,NFL
PERF00000804,ATH000163,2023-12-28,82.6,-11.87,0.57,75.4,8.0,professional,NFL
PERF00000805,ATH000163,2024-08-06,80.2,-2.36,0.57,70.6,7.8,professional,NFL
PERF00000806,ATH000163,2024-10-08,80.5,0.3,0.57,69.3,7.9,professional,NFL
PERF00000807,ATH000164,2022-02-28,99.2,2.2,1.0,65.0,8.4,elite_athlete,Boxing
PERF00000808,ATH000164,2022-08-24,100.0,0.8,1.0,70.3,8.4,elite_athlete,Boxing
PERF00000809,ATH000164,2023-02-11,100.0,0.0,1.0,70.1,8.4,elite_athlete,Boxing
PERF00000810,ATH000164,2023-12-24,100.0,0.0,1.0,73.3,8.2,elite_athlete,Boxing
PERF00000811,ATH000164,2024-10-25,100.0,0.0,1.0,71.7,8.1,elite_athlete,Boxing
PERF00000812,ATH000165,2022-02-02,92.6,1.35,1.0,82.0,8.0,weight_gain,Soccer
PERF00000813,ATH000165,2022-10-31,89.6,-2.99,1.0,67.3,8.3,weight_gain,Soccer
PERF00000814,ATH000165,2023-03-03,90.6,0.97,1.0,72.9,8.1,weight_gain,Soccer
PERF00000815,ATH000165,2024-07-18,90.8,0.17,1.0,71.1,8.3,weight_gain,Soccer
PERF00000816,ATH000166,2022-01-01,84.0,0.91,1.0,70.0,7.0,amateur_athlete,NBA
PERF00000817,ATH000166,2022-08-31,81.9,-2.09,0.71,74.0,8.1,amateur_athlete,NBA
PERF00000818,ATH000166,2023-04-04,80.2,-1.69,0.71,72.9,7.8,amateur_athlete,NBA
PERF00000819,ATH000166,2023-09-06,79.7,-0.5,0.71,72.6,7.7,amateur_athlete,NBA
PERF00000820,ATH000166,2024-10-27,80.2,0.51,0.71,73.6,7.7,amateur_athlete,NBA
PERF00000821,ATH000167,2022-06-28,93.6,-1.43,1.0,67.7,8.1,professional,Swimming
PERF00000822,ATH000167,2023-08-15,95.9,2.33,1.0,73.6,8.2,professional,Swimming
PERF00000823,ATH000167,2024-04-19,82.9,-12.99,0.57,72.6,8.2,professional,Swimming
PERF00000824,ATH000167,2024-07-09,70.6,-12.34,0.14,71.9,8.3,professional,Swimming
PERF00000825,ATH000167,2024-11-22,70.6,-0.04,0.14,71.9,8.3,professional,Swimming
PERF00000826,ATH000168,2022-02-23,100.0,1.21,1.0,84.0,8.5,elite_athlete,Swimming
PERF00000827,ATH000168,2022-11-27,100.0,0.0,1.0,76.4,8.0,elite_athlete,Swimming
PERF00000828,ATH000168,2023-08-08,98.4,-1.63,1.0,71.7,7.8,elite_athlete,Swimming
PERF00000829,ATH000168,2024-04-07,100.0,1.6,1.0,75.9,7.9,elite_athlete,Swimming
PERF00000830,ATH000169,2022-01-08,66.7,1.99,0.0,84.0,8.7,amateur_athlete,Boxing
PERF00000831,ATH000169,2022-12-14,78.9,12.23,0.57,75.0,8.3,amateur_athlete,Boxing
PERF00000832,ATH000169,2023-08-15,77.1,-1.84,0.57,73.3,8.0,amateur_athlete,Boxing
PERF00000833,ATH000169,2024-01-31,59.5,-17.64,0.0,75.6,7.8,amateur_athlete,Boxing
PERF00000834,ATH000169,2024-11-24,85.3,25.81,0.86,75.6,7.8,amateur_athlete,Boxing
PERF00000835,ATH000170,2022-01-02,98.1,2.88,1.0,67.0,9.0,professional,Tennis
PERF00000836,ATH000170,2022-11-25,94.7,-3.36,1.0,73.4,7.9,professional,Tennis
PERF00000837,ATH000170,2023-03-06,94.0,-0.69,1.0,70.3,8.0,professional,Tennis
PERF00000838,ATH000170,2024-04-16,94.6,0.56,1.0,71.1,8.0,professional,Tennis
PERF00000839,ATH000170,2024-11-07,94.0,-0.61,1.0,73.3,7.8,professional,Tennis
PERF00000840,ATH000171,2022-03-13,56.0,0.95,0.0,80.0,7.8,fitness_enthusiast,Boxing
PERF00000841,ATH000171,2022-10-25,78.0,21.97,0.71,76.6,8.1,fitness_enthusiast,Boxing
PERF00000842,ATH000171,2023-11-05,76.2,-1.83,0.71,72.7,8.0,fitness_enthusiast,Boxing
PERF00000843,ATH000171,2024-03-25,75.9,-0.29,0.71,75.4,7.8,fitness_enthusiast,Boxing
PERF00000844,ATH000171,2024-09-26,85.3,9.4,1.0,75.3,7.9,fitness_enthusiast,Boxing
PERF00000845,ATH000172,2022-02-01,84.0,3.57,1.0,70.0,7.0,amateur_athlete,Cycling
PERF00000846,ATH000172,2023-03-24,81.3,-2.73,0.71,73.3,8.0,amateur_athlete,Cycling
PERF00000847,ATH000172,2023-11-14,90.2,8.87,1.0,71.3,8.2,amateur_athlete,Cycling
PERF00000848,ATH000172,2024-05-16,90.8,0.59,1.0,72.9,8.2,amateur_athlete,Cycling
PERF00000849,ATH000172,2024-12-18,90.3,-0.53,1.0,72.6,8.1,amateur_athlete,Cycling
PERF00000850,ATH000173,2022-02-02,90.7,0.31,1.0,79.0,8.8,fitness_enthusiast,Boxing
PERF00000851,ATH000173,2022-08-02,74.2,-16.5,0.57,76.9,8.2,fitness_enthusiast,Boxing
PERF00000852,ATH000173,2023-06-07,70.2,-4.04,0.57,69.6,7.8,fitness_enthusiast,Boxing
PERF00000853,ATH000173,2024-03-06,84.4,14.16,1.0,71.4,8.0,fitness_enthusiast,Boxing
PERF00000854,ATH000173,2024-12-02,84.4,-0.04,1.0,71.4,8.0,fitness_enthusiast,Boxing
PERF00000855,ATH000174,2022-01-23,84.0,4.22,1.0,70.0,7.0,amateur_athlete,NBA
PERF00000856,ATH000174,2022-10-06,87.2,3.2,1.0,64.7,8.0,amateur_athlete,NBA
PERF00000857,ATH000174,2023-05-03,87.4,0.23,1.0,65.0,8.0,amateur_athlete,NBA
PERF00000858,ATH000174,2024-06-19,87.0,-0.44,1.0,64.9,7.9,amateur_athlete,NBA
PERF00000859,ATH000174,2024-12-25,86.4,-0.59,1.0,64.7,7.8,amateur_athlete,NBA
PERF00000860,ATH000175,2022-02-26,63.5,-1.13,0.0,80.0,8.3,amateur_athlete,NFL
PERF00000861,ATH000175,2022-07-04,88.4,24.93,1.0,72.1,7.8,amateur_athlete,NFL
PERF00000862,ATH000175,2023-05-10,87.8,-0.61,1.0,69.3,7.8,amateur_athlete,NFL
PERF00000863,ATH000175,2024-01-15,88.9,1.09,1.0,69.9,8.0,amateur_athlete,NFL
PERF00000864,ATH000175,2024-10-28,88.7,-0.19,1.0,70.7,7.9,amateur_athlete,NFL
PERF00000865,ATH000176,2022-01-17,89.6,2.88,1.0,72.0,8.0,amateur_athlete,Soccer
PERF00000866,ATH000176,2022-06-12,83.2,-6.36,0.71,74.9,8.3,amateur_athlete,Soccer
PERF00000867,ATH000176,2023-06-26,83.2,0.01,0.71,76.4,8.2,amateur_athlete,Soccer
PERF00000868,ATH000176,2023-11-22,77.6,-5.56,0.57,74.3,8.0,amateur_athlete,Soccer
PERF00000869,ATH000177,2022-04-16,66.7,4.1,0.0,84.0,8.7,weight_gain,Boxing
PERF00000870,ATH000177,2022-09-15,77.9,11.2,0.57,73.0,8.2,weight_gain,Boxing
PERF00000871,ATH000177,2023-03-03,90.4,12.46,1.0,74.3,8.0,weight_gain,Boxing
PERF00000872,ATH000177,2023-11-30,80.6,-9.77,0.71,68.3,8.1,weight_gain,Boxing
PERF00000873,ATH000177,2024-09-14,74.6,-6.01,0.57,69.6,7.7,weight_gain,Boxing
PERF00000874,ATH000178,2022-03-09,79.0,-1.77,1.0,70.0,7.0,fitness_enthusiast,Swimming
PERF00000875,ATH000178,2023-02-05,83.5,4.47,1.0,73.0,7.7,fitness_enthusiast,Swimming
PERF00000876,ATH000178,2023-10-03,77.7,-5.83,0.71,73.4,8.2,fitness_enthusiast,Swimming
PERF00000877,ATH000178,2024-09-05,86.0,8.33,1.0,75.6,8.1,fitness_enthusiast,Swimming
PERF00000878,ATH000178,2024-11-27,86.2,0.19,1.0,73.0,8.3,fitness_enthusiast,Swimming
PERF00000879,ATH000179,2022-02-07,99.6,1.27,1.0,78.5,7.6,elite_athlete,Soccer
PERF00000880,ATH000179,2022-07-29,89.0,-10.63,0.57,78.7,8.0,elite_athlete,Soccer
PERF00000881,ATH000179,2023-04-11,100.0,11.0,1.0,75.7,8.1,elite_athlete,Soccer
PERF00000882,ATH000179,2024-04-20,100.0,0.0,1.0,77.9,8.1,elite_athlete,Soccer
PERF00000883,ATH000179,2024-08-11,100.0,0.0,1.0,78.9,8.4,elite_athlete,Soccer
PERF00000884,ATH000180,2022-01-09,94.7,-0.69,1.0,69.0,7.2,elite_athlete,Cycling
PERF00000885,ATH000180,2022-10-04,100.0,5.3,1.0,73.9,8.1,elite_athlete,Cycling
PERF00000886,ATH000180,2023-04-02,100.0,0.0,1.0,74.1,8.0,elite_athlete,Cycling
PERF00000887,ATH000180,2024-01-30,98.7,-1.26,1.0,72.7,7.8,elite_athlete,Cycling
PERF00000888,ATH000180,2024-11-28,98.3,-0.37,1.0,71.6,7.8,elite_athlete,Cycling
PERF00000889,ATH000181,2022-02-18,100.0,1.35,1.0,64.0,8.7,elite_athlete,Tennis
PERF00000890,ATH000181,2022-07-24,99.2,-0.8,1.0,68.3,8.1,elite_athlete,Tennis
PERF00000891,ATH000181,2023-03-14,98.1,-1.06,1.0,67.9,8.0,elite_athlete,Tennis
PERF00000892,ATH000181,2023-12-14,98.3,0.16,1.0,69.4,7.9,elite_athlete,Tennis
PERF00000893,ATH000181,2024-12-21,99.6,1.34,1.0,67.9,8.3,elite_athlete,Tennis
PERF00000894,ATH000182,2022-01-30,94.0,-0.23,1.0,70.0,7.0,elite_athlete,Boxing
PERF00000895,ATH000182,2022-05-16,100.0,6.0,1.0,77.4,8.2,elite_athlete,Boxing
PERF00000896,ATH000182,2024-01-21,100.0,0.0,1.0,75.9,8.0,elite_athlete,Boxing
PERF00000897,ATH000182,2024-06-30,99.3,-0.66,1.0,71.9,8.0,elite_athlete,Boxing
PERF00000898,ATH000182,2024-10-15,99.2,-0.13,1.0,71.3,8.0,elite_athlete,Boxing
PERF00000899,ATH000183,2022-01-30,84.0,4.0,1.0,70.0,7.0,amateur_athlete,NBA
PERF00000900,ATH000183,2022-06-30,81.5,-2.53,0.71,68.7,8.3,amateur_athlete,NBA
PERF00000901,ATH000183,2023-01-22,90.6,9.14,1.0,73.6,8.1,amateur_athlete,NBA
PERF00000902,ATH000183,2023-11-09,89.9,-0.74,1.0,74.3,7.9,amateur_athlete,NBA
PERF00000903,ATH000183,2024-05-24,89.4,-0.46,1.0,71.7,8.0,amateur_athlete,NBA
PERF00000904,ATH000184,2022-04-13,95.2,1.75,1.0,74.0,9.0,amateur_athlete,Cricket
PERF00000905,ATH000184,2023-05-23,87.8,-7.36,1.0,70.4,7.7,amateur_athlete,Cricket
PERF00000906,ATH000184,2023-12-07,75.3,-12.46,0.57,71.1,7.8,amateur_athlete,Cricket
PERF00000907,ATH000184,2024-02-16,75.6,0.26,0.57,74.0,7.6,amateur_athlete,Cricket
PERF00000908,ATH000184,2024-12-04,77.2,1.59,0.57,74.4,7.9,amateur_athlete,Cricket
PERF00000909,ATH000185,2022-01-18,92.5,1.4,1.0,80.0,8.1,weight_gain,NFL
PERF00000910,ATH000185,2022-09-17,92.9,0.39,1.0,79.1,8.2,weight_gain,NFL
PERF00000911,ATH000185,2023-02-28,90.3,-2.64,1.0,75.9,7.9,weight_gain,NFL
PERF00000912,ATH000185,2024-02-27,89.3,-1.01,1.0,72.9,7.9,weight_gain,NFL
PERF00000913,ATH000185,2024-10-03,89.3,-0.01,1.0,72.9,7.9,weight_gain,NFL
PERF00000914,ATH000186,2022-01-30,54.0,4.01,0.0,70.0,7.0,amateur_athlete,Cricket
PERF00000915,ATH000186,2022-07-10,71.0,17.0,0.43,68.6,7.9,amateur_athlete,Cricket
PERF00000916,ATH000186,2023-01-04,72.6,1.56,0.43,70.4,8.1,amateur_athlete,Cricket
PERF00000917,ATH000186,2024-02-12,90.7,18.06,1.0,71.0,8.3,amateur_athlete,Cricket
PERF00000918,ATH000186,2024-10-01,90.8,0.07,1.0,75.4,8.0,amateur_athlete,Cricket
PERF00000919,ATH000187,2022-01-11,59.0,-1.54,0.0,70.0,7.0,professional,Cycling
PERF00000920,ATH000187,2022-10-15,93.8,34.79,1.0,71.4,7.9,professional,Cycling
PERF00000921,ATH000187,2023-06-04,84.7,-9.1,0.71,71.1,7.8,professional,Cycling
PERF00000922,ATH000187,2024-02-19,86.3,1.57,0.71,72.6,8.0,professional,Cycling
PERF00000923,ATH000187,2024-12-27,95.3,8.97,1.0,74.7,8.0,professional,Cycling
PERF00000924,ATH000188,2022-01-13,88.1,-1.73,1.0,72.0,7.7,amateur_athlete,Swimming
PERF00000925,ATH000188,2022-08-25,81.3,-6.83,0.71,75.4,7.8,amateur_athlete,Swimming
PERF00000926,ATH000188,2023-04-12,81.2,-0.11,0.71,73.7,7.9,amateur_athlete,Swimming
PERF00000927,ATH000188,2024-04-18,72.6,-8.57,0.43,77.6,7.7,amateur_athlete,Swimming
PERF00000928,ATH000188,2024-10-28,90.1,17.54,1.0,75.7,7.9,amateur_athlete,Swimming
PERF00000929,ATH000189,2022-01-14,48.5,2.61,0.0,65.0,8.2,casual_user,Boxing
PERF00000930,ATH000189,2022-09-17,49.6,1.13,0.0,69.7,8.1,casual_user,Boxing
PERF00000931,ATH000189,2023-05-21,68.0,18.37,0.57,72.3,8.2,casual_user,Boxing
PERF00000932,ATH000189,2024-01-25,50.9,-17.06,0.0,73.9,8.2,casual_user,Boxing
PERF00000933,ATH000189,2024-11-09,49.7,-1.21,0.0,76.6,7.7,casual_user,Boxing
PERF00000934,ATH000190,2022-02-14,53.0,-1.27,0.0,65.0,7.1,amateur_athlete,Tennis
PERF00000935,ATH000190,2022-11-02,70.9,17.94,0.43,68.9,7.9,amateur_athlete,Tennis
PERF00000936,ATH000190,2023-03-23,83.8,12.89,0.86,70.7,7.8,amateur_athlete,Tennis
PERF00000937,ATH000190,2023-12-14,87.6,3.76,1.0,70.4,7.7,amateur_athlete,Tennis
PERF00000938,ATH000190,2024-06-11,88.6,0.96,1.0,72.6,7.8,amateur_athlete,Tennis
PERF00000939,ATH000191,2022-01-17,91.5,-1.18,1.0,65.0,7.8,professional,NBA
PERF00000940,ATH000191,2022-10-22,90.5,-0.99,0.86,73.9,7.9,professional,NBA
PERF00000941,ATH000191,2023-04-15,89.8,-0.71,0.86,73.6,7.8,professional,NBA
PERF00000942,ATH000191,2024-05-13,93.0,3.24,1.0,70.1,7.8,professional,NBA
PERF00000943,ATH000191,2024-12-18,93.1,0.13,1.0,74.0,7.6,professional,NBA
PERF00000944,ATH000192,2022-01-11,74.0,1.38,1.0,70.0,7.0,casual_user,Swimming
PERF00000945,ATH000192,2022-10-20,75.6,1.61,0.86,71.6,8.1,casual_user,Swimming
PERF00000946,ATH000192,2023-10-02,80.3,4.74,1.0,72.6,8.1,casual_user,Swimming
PERF00000947,ATH000192,2024-02-17,80.7,0.37,1.0,73.4,8.1,casual_user,Swimming
PERF00000948,ATH000193,2022-02-05,70.0,2.05,0.0,75.0,7.9,elite_athlete,Boxing
PERF00000949,ATH000193,2022-09-16,90.8,20.81,0.71,71.3,8.0,elite_athlete,Boxing
PERF00000950,ATH000193,2023-07-26,99.5,8.67,1.0,69.4,8.1,elite_athlete,Boxing
PERF00000951,ATH000193,2024-06-08,99.4,-0.14,1.0,67.1,8.2,elite_athlete,Boxing
PERF00000952,ATH000193,2024-12-11,99.3,-0.14,1.0,67.3,8.2,elite_athlete,Boxing
PERF00000953,ATH000194,2022-02-21,64.0,1.31,0.0,70.0,7.0,elite_athlete,Boxing
PERF00000954,ATH000194,2022-11-05,98.5,34.46,1.0,70.6,7.9,elite_athlete,Boxing
PERF00000955,ATH000194,2023-11-05,99.2,0.74,1.0,70.6,8.0,elite_athlete,Boxing
PERF00000956,ATH000194,2024-07-08,99.2,0.04,1.0,70.6,8.0,elite_athlete,Boxing
PERF00000957,ATH000194,2024-12-09,98.3,-0.86,1.0,69.7,7.9,elite_athlete,Boxing
PERF00000958,ATH000195,2022-01-04,55.5,0.83,0.0,80.0,8.7,casual_user,Tennis
PERF00000959,ATH000195,2022-05-28,64.1,8.57,0.43,74.3,8.2,casual_user,Tennis
PERF00000960,ATH000195,2022-10-29,49.3,-14.84,0.0,69.4,8.1,casual_user,Tennis
PERF00000961,ATH000195,2023-07-14,50.9,1.6,0.0,69.4,8.4,casual_user,Tennis
