Table 1
SECOND PRACTICE MOSTLY IN MORNINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8pm-9pm,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,,8pm-9pm,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,,,Pre-Snack,1 before first exercise,,,,Post-snack,completion of first exercise,,,9pm+,Pre-Meal,3 before first exercise,,,,,,,Post-snack,completion of second exercise,,,Meal,completion of second exercise,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of first exercise,,Meal,completion of first exercise,,,,Post-snack,completion of first exercise,,Meal,completion of first exercise,,,,Meal,completion of first exercise,,,,Pre-Snack,1 before second exercise,,,,Pre Snack,1 before first exercise,,,,,,,,,,,,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Meal,6 before second exercise,,Pre-meal,3 before second exercise,,,,Meal,6 before second exercise,,Pre-meal,3 before second exercise,,,,Pre-Snack,1 before second exercise,,,,Meal,completion of second exercise,,,,Meal,completion of first exercise,,,,,,,Only applies to Practice 1= 3 Hours,,,3 hours? ->,Only applies to Practice 1= 2hour,,,,Post-snack,completion of first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pre-meal,3 before second exercise,,Pre Snack,1 before second exercise,,,,Pre-meal,3 before second exercise,,Pre Snack,1 before second exercise,,,,Meal,completion of second exercise,,,,,,,,,Pre-Meal,3 before second exercise,,,,,,,Meal,7 before first exercise,,,Meal,7 before first exercise,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of second exercise,,Post-snack,completion of second exercise,,,,Post-snack,completion of second exercise,,Post-snack,completion of second exercise,,,,,,,,6pm-8pm,Pre-Meal,3 before first exercise,,,,Post-snack,completion of second exercise,,,,,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8pm-9pm,For 1 + 2 hour practice,,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,Pre-snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9pm-10pm,Pre-Meal,3 before first exercise,,,,,,9-10pm,Pre-Meal,3 before first exercise,,,,,,,Pre-Meal,3 before first exercise,,,,Meal,completion of first exercise,,,,,,,,,,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,3 hours? ->,Only applies to Practice 1= 2hour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of first exercise,,,,,,,Post-snack,completion of first exercise,,,,,,,Pre-Snack,1 before first exercise,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,Pre-Snack,1 before second exercise,,,Meal,completion of second exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Meal,7 before second exercise,,,,,,,Meal,7 before second exercise,,,,,,,Meal,completion of first exercise,,,,Meal,completion of second exercise,,,,,,,,,,,,Post-snack,completion of second exercise,,,,,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pre-meal,3 before second exercise,,,,,,,Pre-meal,3 before second exercise,,,,,,,Snack,1.5 before second exercise,,,,,,,,,,,,,,,,,,,,9pm-10pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of second exercise,,,,,,,Post-snack,completion of second exercise,,,,,,,Meal,completion of second exercise,,,8pm-9pm,For 2 hour and 3 hour practice,,,,,,,,,,,,9pm+,Meal,7 before first exercise,,,Meal,7 before first exercise,,,Snack,completion of first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For 3 hour practice,,,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,10pm-,Pre-Meal,3 before first exercise,,,,,,10pm-,Pre-Meal,3 before first exercise,,,,,,,Pre-Meal,3 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,Meal,completion of first exercise,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of first exercise,,,,,,,Post-snack,completion of first exercise,,,,,,,Pre-Snack,1 before first exercise,,,,Meal,completion of first exercise,,,,,,,,,,,,Pre-Snack,1 before second exercise,,,Pre-Snack,1 before second exercise,,10pm+,Only applies to Practice 1= 1hour + 2 Hour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Meal,8 before second exercise,,,,,,,Meal,8 before second exercise,,,,,,,Meal,completion of first exercise,,,,Snack,1.5 before second exercise,,,,,,,,,,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pre-meal,3 before second exercise,,,,,,,Pre-meal,3 before second exercise,,,,,,,Pre-Meal,3 before second exercise,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of second exercise,,,,,,,Post-snack,completion of second exercise,,,,,,,Snack,completion of second exercise,,,,For 1 hour practice,,,,,,,,,,,,,,,,,Only applies to Practice 1= 3 Hour,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,Meal,7 before first exercise,,,Meal,completion of first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9pm-+,Pre-Meal,3 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Snack,1 before first exercise,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,Post-snack,completion of first exercise,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,,Pre-Meal,3 before second exercise,,,,,,,,,,,,,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Meal,3 before second exercise,,,,Snack,completion of second exercise,,,,,,,,,,,,,,,,Post-snack,completion of second exercise,,,Only applies to Practice 1= 3 Hour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snack,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,Meal,7 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9pm-+,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,10pm+,Meal,7 before first exercise,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,Post-snack,completion of first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Meal,3 before second exercise,,,,,,,,,,,,,,,,Pre-Snack,1 before second exercise,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snack,completion of second exercise,,,,,,,,,,,,,,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
